tag,title,region
dumbarton,Dumbarton Express,California-Northern
escalon,Escalon eTrans,California-Northern
fast,FAST,California-Northern
manteca-transit,Manteca Transit,California-Northern
sf-muni,San Francisco Muni,California-Northern
solano-express,SolanoExpress,California-Northern
sct,Sonoma County Transit,California-Northern
tahoe,Tahoe Truckee Area Regional Transit,California-Northern
unitrans,Unitrans ASUCD/City of Davis,California-Northern
ucb,University of California Berkeley,California-Northern
vacaville,Vacaville City Coach,California-Northern
